Customer_ID,Age,City,Website_Visits,Purchase_Amount
1,27,Bangalore,25,2562.72
2,34,Kolkata,25,1268.71
3,54,Bangalore,20,3664.41
4,21,Bangalore,8,2244.96
5,21,Kolkata,24,5374.13
6,54,Mumbai,9,3869.07
7,37,Bangalore,7,5736.05
8,41,Delhi,6,2114.85
9,41,Bangalore,4,3349.45
10,42,Delhi,21,2483.91
11,22,Mumbai,19,1436.2
12,44,Bangalore,19,2698.84
13,43,Kolkata,24,1021.66
14,34,Delhi,4,6914.88
15,26,Mumbai,10,3900.58
16,43,Kolkata,13,3164.53
17,37,Bangalore,21,5262.34
18,54,Kolkata,7,3966.95
19,37,Kolkata,23,2932.12
20,23,Kolkata,3,6537.84
21,45,Delhi,4,2082.37
22,40,Kolkata,22,4244.23
23,49,Kolkata,10,1547.23
24,55,Delhi,25,4884.39
25,45,Delhi,9,7979.94
26,28,Mumbai,4,6168.37
27,27,Kolkata,22,1699.87
28,47,Bangalore,14,3362.14
29,49,Delhi,19,6955.85
30,20,Bangalore,23,7135.91
31,37,Delhi,5,2701.25
32,30,Mumbai,2,7653.62
33,36,Kolkata,18,7344.71
34,39,Kolkata,6,3304.35
35,30,Bangalore,21,2931.17
36,21,Bangalore,13,7090.41
37,39,Kolkata,3,2306.54
38,25,Bangalore,25,4144.93
39,24,Kolkata,6,5448.13
40,55,Kolkata,10,4457.55
