Customer_ID,Age,Membership_Level,Website_Visits,Purchased
1,26,Bronze,9,Yes
2,27,Gold,18,Yes
3,46,Bronze,3,Yes
4,51,Silver,18,Yes
5,53,Silver,15,Yes
6,19,Gold,6,No
7,40,Bronze,7,No
8,40,Bronze,13,Yes
9,41,Silver,2,No
10,53,Bronze,13,Yes
11,37,Gold,20,No
12,42,Silver,3,Yes
13,33,Gold,3,No
14,25,Silver,15,No
15,42,Bronze,12,Yes
16,36,Gold,3,No
17,29,Silver,8,Yes
18,43,Bronze,18,Yes
19,39,Gold,2,Yes
20,21,Gold,13,Yes
21,32,Platinum,19,Yes
22,39,Bronze,16,Yes
23,48,Bronze,5,Yes
24,54,Silver,19,Yes
25,44,Silver,5,No
26,24,Gold,4,Yes
27,29,Gold,14,Yes
28,43,Silver,15,Yes
29,54,Gold,1,No
30,26,Gold,18,Yes
31,40,Bronze,14,Yes
32,19,Platinum,9,No
33,30,Silver,4,No
34,38,Gold,17,Yes
35,28,Silver,6,No
36,52,Platinum,20,Yes
37,20,Bronze,12,No
38,38,Bronze,8,No
39,24,Bronze,16,No
40,53,Gold,5,No
