Employee_ID,Age,Experience_Years,Training_Score,Weekly_Work_Hours,Performance_Score
1001,30.2,13.1,75.2,36.4,66.96
1002,36.4,9.8,78.7,43.5,66.95
1003,23.6,5.3,75.3,45.0,58.56
1004,43.4,5.2,77.5,45.1,62.6
1005,38.8,5.6,62.6,40.6,54.35
1006,33.2,9.2,75.6,37.8,66.58
1007,33.1,11.2,71.1,49.3,65.25
1008,36.8,3.2,71.3,40.9,52.49
1009,33.4,9.5,82.4,36.5,67.43
1010,33.6,10.3,68.1,40.9,62.9
1011,39.3,8.8,66.7,43.3,62.06
1012,38.1,16.1,61.5,38.7,69.51
1013,34.6,9.3,69.6,43.7,66.95
1014,34.5,8.1,80.6,45.9,69.08
1015,36.0,9.5,58.7,41.7,55.93
1016,31.3,6.6,74.0,46.4,58.62
1017,32.6,5.3,51.7,41.4,48.85
1018,38.3,9.1,66.5,39.8,61.08
1019,34.2,10.9,75.5,49.0,73.76
1020,26.8,7.4,67.7,44.7,59.32
1021,32.1,10.3,62.4,42.4,66.18
1022,38.9,7.1,69.1,33.8,62.19
1023,33.6,12.1,79.9,35.7,65.83
1024,34.1,8.5,83.9,34.4,64.08
1025,38.9,9.3,84.1,41.7,72.01
1026,45.9,9.9,77.5,41.8,69.37
1027,30.7,4.6,74.9,43.7,58.89
1028,43.1,7.5,79.9,46.5,66.0
1029,27.6,12.6,62.7,35.1,60.4
1030,36.0,8.1,64.2,35.9,57.62
1031,28.0,11.5,82.3,37.8,71.42
1032,43.1,10.2,78.9,43.9,67.03
1033,40.0,3.4,79.0,43.2,58.13
1034,41.8,9.8,73.8,37.2,69.95
1035,29.7,5.3,65.4,38.7,52.68
1036,39.1,8.7,63.4,43.6,62.13
1037,31.9,7.0,79.5,42.2,65.23
1038,32.3,8.1,80.7,46.4,68.68
1039,38.0,7.8,63.0,38.2,56.99
1040,40.3,8.6,66.1,41.3,60.91
1041,36.2,6.9,71.2,37.4,62.83
1042,31.2,4.6,79.0,47.0,58.04
1043,30.0,5.5,69.3,46.5,54.46
1044,43.7,10.3,65.2,44.1,69.08
1045,38.6,12.3,79.9,46.3,78.1
