Date,Year,Month,Month_Name,Sugarcane_Production_Index,Rainfall_mm,Fuel_Price_Rs_per_Litre,Festival_Demand_Index,Export_Demand_Index,Sugar_Stock_Index,Inflation_Percent,Sugar_Price_Rs_per_kg
2018-01-01,2018,1,Jan,99.48,49.91,71.83,97.11,97.62,113.57,3.92,27
2018-02-01,2018,2,Feb,104.35,17.48,72.77,98.49,100.99,119.21,3.66,27
2018-03-01,2018,3,Mar,110.86,14.43,72.91,109.68,101.62,113.46,3.92,27.05
2018-04-01,2018,4,Apr,107.28,37.11,73.84,110.74,103.36,111.8,4.34,27
2018-05-01,2018,5,May,105.11,5.34,72.32,97.63,103.97,107.86,4.55,27
2018-06-01,2018,6,Jun,103.12,93.45,74.28,97.46,104.83,108.95,4.59,27.63
2018-07-01,2018,7,Jul,97.85,126.21,73.81,96.5,103.06,112.23,4.17,27
2018-08-01,2018,8,Aug,100.27,182.44,75.68,97.51,108.94,103.88,4.06,27
2018-09-01,2018,9,Sep,88.74,197.15,75.36,125.76,104.51,107.15,4.86,30.66
2018-10-01,2018,10,Oct,90.17,179.77,74.86,122.51,109.06,105.72,4.72,29.37
2018-11-01,2018,11,Nov,92.19,124.48,73.31,121.75,105.17,112.05,5.24,29.07
2018-12-01,2018,12,Dec,96.5,99.7,78.06,97.68,108.31,111.15,5.21,29.52
2019-01-01,2019,1,Jan,100.61,74.58,79.72,93.92,112.81,116.97,4.78,27.8
2019-02-01,2019,2,Feb,108.97,18.67,78.35,97.07,101.37,119.57,5.22,28.19
2019-03-01,2019,3,Mar,107.62,5,80.04,106.83,107.62,120.47,4.92,29.25
2019-04-01,2019,4,Apr,104.98,23.15,78.1,106.37,111.88,113.71,5.92,31.34
2019-05-01,2019,5,May,103.72,77.08,77.88,95.97,114.71,105.04,5.51,30.75
2019-06-01,2019,6,Jun,106.84,122.6,78.42,93.44,105.9,107.05,5.12,30.22
2019-07-01,2019,7,Jul,101.66,126.5,76.25,93.81,110.54,106.25,5.72,29.37
2019-08-01,2019,8,Aug,98.07,148.5,79.63,96.47,107.69,106.12,5.25,29.91
2019-09-01,2019,9,Sep,95.6,202.93,79.52,131.46,110.5,102.65,5.27,31.89
2019-10-01,2019,10,Oct,94.26,170.75,81.1,123.46,104.51,106.88,5.31,29.89
2019-11-01,2019,11,Nov,95.59,153.18,78.01,126.55,108.96,104.91,5.38,30.66
2019-12-01,2019,12,Dec,98.27,81.58,80.41,93.27,110.57,115.79,4.95,29.82
2020-01-01,2020,1,Jan,108.2,52.55,77.04,97.09,108.22,114.88,5.85,29.94
2020-02-01,2020,2,Feb,104.07,61.72,80.51,93.53,106.81,116.19,5.05,29.55
2020-03-01,2020,3,Mar,114.34,5,79.86,115.23,105.58,115.82,6.23,30.92
2020-04-01,2020,4,Apr,107.76,5,80.92,112.08,112.17,111.49,4.53,30.25
2020-05-01,2020,5,May,109.73,74.82,77.37,94.89,112.18,115.02,5.24,29.46
2020-06-01,2020,6,Jun,102.87,72.68,80.45,96.51,109.41,103.59,4.6,29.14
2020-07-01,2020,7,Jul,103.33,116.67,76.97,94.0,108.71,106.9,4.99,29.82
2020-08-01,2020,8,Aug,95.17,161.43,79.47,99.58,110.04,102.74,6.08,31.14
2020-09-01,2020,9,Sep,95.39,191.17,80.17,131.95,111.31,97.9,4.73,31.28
2020-10-01,2020,10,Oct,89.35,182.71,77.13,119.28,106.33,104.23,4.95,29.3
2020-11-01,2020,11,Nov,88.4,115.46,81.0,126.11,109.31,110.29,4.72,32.55
2020-12-01,2020,12,Dec,95.42,92.55,79.71,93.25,99.67,111.77,4.83,28.9
2021-01-01,2021,1,Jan,103.22,39.65,83.04,95.11,104.54,111.97,4.68,29.03
2021-02-01,2021,2,Feb,106.28,19.13,83.19,97.83,109.1,112.42,4.91,29.91
2021-03-01,2021,3,Mar,110.28,15.62,79.22,116.0,107.71,107.79,4.83,30.6
2021-04-01,2021,4,Apr,111.5,21.41,80.89,103.88,102.6,113.14,5.07,32.06
2021-05-01,2021,5,May,102.86,84.96,81.38,89.25,111.05,107.96,4.2,31.09
2021-06-01,2021,6,Jun,100.43,106.59,80.59,92.81,106.76,102.18,5.06,29.07
2021-07-01,2021,7,Jul,107.54,143.21,78.82,95.63,107.31,98.83,4.8,29.36
2021-08-01,2021,8,Aug,103.39,151.62,81.15,94.5,105.15,97.49,5.0,29.83
2021-09-01,2021,9,Sep,94.62,188.27,80.79,124.65,109.78,100.11,4.87,31.76
2021-10-01,2021,10,Oct,91.52,166.51,78.35,122.78,105.04,105.7,4.58,31.61
2021-11-01,2021,11,Nov,95.24,178.53,77.34,123.86,108.34,102.01,4.53,30.36
2021-12-01,2021,12,Dec,95.79,86.73,78.41,100.36,108.73,107.37,4.51,31.02
2022-01-01,2022,1,Jan,104.25,40.18,80.54,97.25,114.12,110.65,5.08,30.64
2022-02-01,2022,2,Feb,110.39,14.25,80.57,95.01,107.11,114.8,4.51,29.08
2022-03-01,2022,3,Mar,110.47,5,76.06,111.08,112.03,110.31,5.15,31.86
2022-04-01,2022,4,Apr,108.79,10.47,80.18,105.45,111.38,107.49,4.87,31.77
2022-05-01,2022,5,May,113.13,53.16,79.38,94.06,109.66,107.93,5.1,31.75
2022-06-01,2022,6,Jun,106.88,81.55,78.86,94.74,114.28,97.0,5.28,32.11
2022-07-01,2022,7,Jul,109.55,157.85,78.39,94.89,115.25,105.28,4.47,29.45
2022-08-01,2022,8,Aug,91.06,142.14,75.76,90.85,119.43,95.79,5.08,30.17
2022-09-01,2022,9,Sep,92.57,191.0,80.71,122.02,114.94,99.59,5.26,33.65
2022-10-01,2022,10,Oct,91.18,170.78,77.83,123.28,120.43,102.81,5.31,33.31
2022-11-01,2022,11,Nov,95.46,127.99,78.9,129.58,118.97,103.99,5.09,33.45
2022-12-01,2022,12,Dec,99.83,84.42,75.74,98.13,116.27,106.09,5.94,30.97
2023-01-01,2023,1,Jan,103.72,51.07,77.07,99.03,125.74,104.95,5.17,33.04
2023-02-01,2023,2,Feb,106.33,5,78.76,97.08,121.53,111.97,5.52,33.9
2023-03-01,2023,3,Mar,111.45,5,77.8,110.32,122.61,110.13,5.55,33.79
2023-04-01,2023,4,Apr,112.23,46.84,79.69,112.51,126.78,108.85,6.09,34.73
2023-05-01,2023,5,May,107.51,53.74,78.67,89.33,124.8,105.56,6.57,33.87
2023-06-01,2023,6,Jun,107.5,111.71,77.15,90.77,122.68,96.6,6.47,32.94
2023-07-01,2023,7,Jul,103.72,147.77,80.32,98.18,124.37,97.19,6.17,31.98
2023-08-01,2023,8,Aug,103.07,180.77,78.83,93.52,130.23,89.93,6.53,34.02
2023-09-01,2023,9,Sep,100.75,169.72,80.4,124.22,127.27,96.61,6.4,33.78
2023-10-01,2023,10,Oct,98.58,193.45,80.26,121.72,134.29,106.16,6.74,34.22
2023-11-01,2023,11,Nov,97.83,121.9,77.83,124.9,131.75,99.08,7.48,38.27
2023-12-01,2023,12,Dec,95.26,72.73,78.94,91.91,128.06,99.24,6.79,37.01
2024-01-01,2024,1,Jan,103.38,32.4,77.3,96.91,128.46,115.24,7.03,34.51
2024-02-01,2024,2,Feb,106.68,31.29,77.72,95.91,128.83,110.74,7.17,34.72
2024-03-01,2024,3,Mar,116.34,17.59,78.28,115.21,128.77,106.88,7.96,37.05
2024-04-01,2024,4,Apr,114.65,46.06,77.64,110.36,128.0,102.47,6.56,34.93
2024-05-01,2024,5,May,112.3,63.12,79.95,92.6,126.62,101.21,6.87,34.66
2024-06-01,2024,6,Jun,105.51,94.59,80.32,92.72,129.52,100.78,7.35,36.15
2024-07-01,2024,7,Jul,103.06,107.76,81.36,96.92,124.63,97.06,7.75,36.33
2024-08-01,2024,8,Aug,101.55,166.91,81.61,97.02,129.48,95.98,7.09,35.32
2024-09-01,2024,9,Sep,96.66,202.56,81.29,123.53,131.43,93.77,7.71,36.52
2024-10-01,2024,10,Oct,96.82,149.57,82.06,125.89,132.01,97.54,7.57,37.08
2024-11-01,2024,11,Nov,99.17,160.17,83.01,125.56,126.19,101.18,7.6,37.29
2024-12-01,2024,12,Dec,96.12,97.23,82.83,92.92,125.01,105.08,6.78,36.24
2025-01-01,2025,1,Jan,104.74,67.84,81.42,92.16,127.49,100.71,7.49,37.15
2025-02-01,2025,2,Feb,107.42,15.77,83.56,96.05,130.91,108.86,7.17,36.51
2025-03-01,2025,3,Mar,116.5,13.28,83.19,106.84,124.71,101.45,7.51,36.1
2025-04-01,2025,4,Apr,106.97,5,82.38,111.71,123.08,99.81,7.44,37.64
2025-05-01,2025,5,May,114.05,60.28,84.45,91.11,126.35,102.94,7.14,34.8
2025-06-01,2025,6,Jun,107.65,114.85,84.26,95.05,129.56,98.61,7.2,37.06
2025-07-01,2025,7,Jul,109.06,176.15,86.29,91.63,137.49,91.54,7.15,36.03
2025-08-01,2025,8,Aug,102.16,197.9,83.56,95.8,127.69,93.12,6.81,34.8
2025-09-01,2025,9,Sep,98.04,172.14,85.34,127.21,123.06,89.7,6.94,38.84
2025-10-01,2025,10,Oct,103.92,158.3,87.28,121.51,123.32,98.07,6.74,39.04
2025-11-01,2025,11,Nov,100.01,119.66,89.16,124.67,122.8,99.9,7.24,39.31
2025-12-01,2025,12,Dec,96.7,96.02,87.46,92.98,119.27,102.01,6.56,36.85
