ID,Product_Weight_g
1,504.6
2,484.4
3,511.3
4,514.1
5,470.7
6,480.5
7,501.9
8,495.3
9,499.7
10,487.2
11,513.2
12,511.7
13,501.0
14,516.9
15,507.0
16,487.1
17,505.5
18,485.6
19,513.2
20,499.3
21,497.2
22,489.8
23,518.3
24,497.7
25,493.6
26,494.7
27,508.0
28,505.5
29,506.2
30,506.5
31,532.1
32,493.9
33,492.3
34,487.8
35,509.2
36,516.9
37,498.3
38,487.4
39,487.6
40,509.8
41,511.1
42,508.1
43,490.0
44,503.5
45,501.8
46,503.3
47,513.1
48,503.4
49,510.2
50,501.0
51,504.3
52,509.5
53,478.1
54,495.2
55,492.9
56,490.4
57,495.9
58,522.4
59,487.0
60,514.5
61,474.8
62,495.0
63,502.4
64,508.8
65,510.7
66,511.9
67,494.8
68,493.1
69,512.9
70,497.1
71,480.9
72,483.0
73,486.2
74,507.5
75,502.1
76,510.4
77,493.6
78,502.4
79,509.4
80,495.4
81,590.0
