Customer_ID,Age,Annual_Income,Website_Minutes,Previous_Purchases,Purchase_Amount
1,35,98728.03,10.47,5,2751.54
2,21,76294.17,7.01,8,1604.89
3,42,31391.29,8.98,0,366.43
4,45,20406.79,4.81,6,1407.55
5,18,18000.0,26.07,7,1069.41
6,19,34581.62,19.55,5,1028.99
7,33,176526.85,19.57,2,4002.63
8,28,59230.17,23.3,5,2260.01
9,31,34277.18,52.41,5,1740.99
10,23,60222.07,3.5,3,1280.98
11,44,19761.14,13.21,5,920.94
12,42,39595.56,7.45,2,707.11
13,32,49252.36,29.33,3,1088.33
14,48,44473.32,48.73,3,1130.43
15,38,72037.59,9.46,3,1481.28
16,23,56362.25,15.8,7,1540.87
17,36,67344.69,3.06,4,1127.84
18,22,31933.0,15.96,2,991.3
19,44,76404.62,10.14,6,2193.42
20,31,114223.84,23.34,3,3156.33
21,29,27348.52,16.74,3,713.87
22,24,28617.32,37.5,3,1230.0
23,50,97215.11,14.18,4,2405.63
24,30,41972.12,16.01,4,1226.76
25,27,100921.85,43.16,9,3390.83
26,28,36556.17,14.73,2,1259.81
27,39,103805.59,23.75,6,2821.24
28,36,50127.11,7.57,8,1749.6
29,37,53746.07,33.27,4,1531.83
30,37,110259.83,24.73,7,2461.46
31,70,38216.64,25.61,4,1037.93
32,27,27788.65,26.83,4,923.71
33,26,36435.17,22.72,2,652.83
34,23,59801.36,3.78,3,1588.78
35,40,19709.04,10.08,5,1399.17
36,48,66211.47,48.1,3,1564.7
37,30,34671.59,40.55,8,1907.4
38,23,87666.66,39.83,6,2174.79
39,23,18000.0,66.55,3,1046.4
40,40,30254.16,20.45,1,566.33
41,42,18443.04,19.1,2,905.89
42,39,29601.31,17.26,6,1084.67
43,24,53434.73,3.48,5,1892.0
44,34,42252.78,18.19,3,1141.0
45,33,40564.25,31.22,4,1176.91
46,34,42721.1,9.26,5,949.78
47,44,52149.17,51.18,6,2071.13
48,34,26777.18,24.13,4,1416.31
49,41,68786.81,28.34,2,1766.34
50,32,67135.37,22.67,6,2822.07
51,35,57628.4,39.52,7,2604.16
52,40,63328.67,15.63,7,1919.47
53,18,54886.9,19.19,2,1240.59
54,28,142812.85,8.04,3,3125.33
55,26,44449.02,17.91,3,971.09
56,25,39383.58,7.98,5,1726.97
57,28,30808.93,41.73,7,1764.07
58,56,26430.01,20.75,8,1601.12
59,23,23518.45,20.46,8,1697.23
60,46,28599.99,37.23,5,1946.99
61,18,44852.1,7.48,3,1253.24
62,28,56042.32,7.71,3,1357.02
63,34,47960.26,69.85,2,2135.21
64,39,30606.13,22.21,3,1386.13
65,41,76504.25,20.65,1,1529.59
66,43,70029.86,2.36,1,1390.09
67,28,42710.22,12.92,4,1374.1
68,26,32561.83,52.81,3,1438.8
69,44,63046.97,38.78,3,1280.91
70,29,51708.91,13.23,6,1150.14
71,19,21026.31,25.21,3,586.98
72,20,44918.76,12.25,2,782.78
73,22,53858.73,15.28,6,1518.76
74,38,28429.08,11.56,3,1150.61
75,33,51762.12,7.43,3,1258.29
76,41,20949.03,19.36,4,1031.02
77,27,97236.59,16.81,2,1667.86
78,33,92630.38,69.65,7,2798.12
79,40,40583.44,4.56,4,1410.24
80,28,56948.34,15.16,4,1787.0
81,37,18000.0,33.76,4,763.58
82,24,24686.43,18.01,4,1076.01
83,27,39672.82,60.35,6,2596.33
84,27,25856.75,12.7,3,884.5
85,20,69072.92,5.63,2,1262.96
86,38,139876.21,49.34,5,3377.02
87,26,24412.78,3.56,6,1158.37
88,32,29418.97,14.28,2,803.72
89,38,53076.87,11.17,1,1138.21
90,37,113109.75,22.26,3,2027.71
91,41,23806.03,30.58,1,430.96
92,30,53475.02,16.1,3,1361.03
93,27,126971.05,43.46,0,2553.6
94,31,18798.5,3.04,4,603.0
95,18,23049.79,10.61,2,652.52
96,18,36938.75,21.21,3,1175.34
97,19,35020.06,12.48,2,1255.23
98,22,72906.33,5.42,7,2088.25
99,37,53258.51,7.04,3,1481.13
100,22,18000.0,13.12,1,342.86
101,27,61912.4,11.26,6,2059.09
102,52,33940.14,30.78,2,1193.28
103,28,93990.22,28.06,3,2535.32
104,42,33018.62,26.65,6,1703.91
105,22,32855.08,23.39,5,1522.88
106,29,62794.48,32.74,1,1451.41
107,22,70941.41,67.08,3,2195.76
108,28,59662.24,9.68,4,1958.75
109,43,18451.88,49.4,5,1024.37
110,18,62687.6,2.33,2,1145.92
111,37,26400.3,68.84,4,1495.03
112,34,53071.85,4.32,5,1683.08
113,25,21310.31,4.62,4,569.84
114,18,59603.95,14.54,2,1375.73
115,32,29922.64,5.67,2,768.2
116,26,23029.95,2.27,1,100.0
117,34,69051.03,2.0,3,1511.07
118,32,53258.06,9.35,2,1193.74
119,58,33266.72,40.44,6,1506.02
120,29,103585.06,4.83,9,3386.32
121,21,36594.06,22.2,4,839.7
122,34,47460.79,39.96,5,1415.41
