Customer_ID,Purchase_Amount
1,1637
2,1923
3,1512
4,1806
5,1186
6,4045
7,1009
8,3528
9,1518
10,1270
11,1487
12,1281
13,1810
14,1966
15,2696
16,1200
17,3830
18,1662
19,1314
20,1795
21,1068
22,1054
23,2101
24,1696
25,2976
26,1428
27,1469
28,2063
29,1474
30,1020
31,1264
32,1913
33,1571
34,2257
35,1007
36,1813
37,1225
38,1320
39,3767
40,2264
41,4416
42,2573
43,3019
44,1130
45,1272
46,1215
47,2033
48,2101
49,1114
50,1345
51,1961
52,1062
53,1088
54,1784
55,2687
56,3427
57,1635
58,2175
59,1687
60,1843
61,1130
62,3245
63,1796
64,1788
65,1024
66,1977
67,1956
68,1958
69,1512
70,2227
71,2416
72,1585
73,1316
74,2530
75,1605
76,1676
77,1100
78,1221
79,2843
80,1655
81,8500
82,12000
