Student_ID,Age,Study_Hours,Monthly_Income,City,Hostel,Attendance,Previous_Score,Final_Score
1001,20,2.5,18000,Kolkata,Yes,82,68,72
1002,21,3.0,22000,Delhi,No,85,72,75
1003,,4.0,25000,Kolkata,Yes,,75,78
1004,22,2.0,,Bangalore,No,78,66,69
1005,20,5.0,24000,,Yes,90,80,84
1006,23,3.5,26000,Mumbai,,88,,80
1007,21,4.5,27000,Kolkata,Yes,91,82,86
1008,22,1.5,19000,Delhi,No,,60,64
1009,20,3.0,23000,Kolkata,Yes,84,70,74
1010,24,6.0,120000,Bangalore,Yes,93,88,91
1011,23,2.5,28000,Mumbai,No,80,68,71
1012,,4.0,30000,Kolkata,Yes,87,78,81
1013,21,3.5,,Delhi,No,83,73,76
1014,22,5.5,32000,,Yes,92,85,88
1015,20,2.0,21000,Kolkata,,79,65,68
1016,23,4.5,29000,Mumbai,No,89,,83
1017,21,3.0,24000,Kolkata,Yes,,71,74
1018,22,5.0,31000,Bangalore,No,90,84,87
1019,24,1.0,20000,Delhi,Yes,76,58,62
1020,20,4.0,26000,Kolkata,No,86,77,80
1021,23,3.5,28000,Mumbai,Yes,88,79,82
1022,21,2.5,23000,Kolkata,No,81,69,
1023,22,4.0,27000,Bangalore,Yes,87,76,79
1024,20,3.0,25000,Delhi,No,84,72,75
1025,24,5.5,35000,Kolkata,Yes,94,89,92
